CountryEnglish,ISO3v10,ContinentName,Continent,CountryCode,CountryCodeLong,UNRegion,ISO2,UNSDCode,Resolution,PopulationPerUnit,Area,LevelUsed,Level1Type,Level2Type,Level3Type,Level4Type,Level5Type,NumUnits,RefYearFirst,RefYearLast,P90E ('000),P95E ('000),P00E  ('000),UN_P90 ('000),UN_P95 ('000),UN_P00 ('000),UN_P05 ('000),UN_P10 ('000),UN_P15 ('000),Diff90,Diff95,Diff00,Source Data: Boundaries,Source Data: Population,Edits and Notes: Spatial,Edits and Notes: Population,Internal Spatial Notes,Internal Population Notes,Num Settlement Points,Largest Point (pop),Smallest Point (pop),Mean Point (pop),Urban Criteria (UN),Num Urban Extents,Largest Extent (sq.km),Smallest Extent (sq.km),Mean Extent (sq.km),Sum-All Urban Extents (sq.km),Largest Extent (pop),Smallest Extent (pop),Mean Extent (pop),Sum-All Urban Extents (pop),Pct Total Land Area in Urban Extents (sq.km),"Pct Total Population in Urban Extents (2000,NSO est.)","Pct Total Population that is urban (2000,UN)",Num UE's from Nighttime Lights ,Num UE's from Regressions,Num UE's from DCW ,Num UE's from other sources,Settlement Point Population Source,Settlement Point Coordinate Source,,,,,,,
Slovenia,SVN,Europe,5,695,69505,Southern Europe,SI,705,2,0,20224,3,Region,Municipality,Settlement,,,5989,1996,2002,"2,013","1,991","1,971"," 1,918 "," 1,990 "," 1,988 "," 1,976 "," 1,955 "," 1,926 ",-4.96,-0.05,0.82,Seamless Administrative Boundaries of Europe (SABE) distributed by Eurographics: http://www.eurogeographics.org/eng/03_projects_sabe.asps (SABE 2001 date of release : February 2003).,"Census 2002, Statistical Office of the Republic of Slovenia, http://www.stat.si/pxweb/Database/Census2002/Census2002.asp .  
The 1995 population was caluclated based on the Population for 1996 and 1997 from: Statistical Office of the Republic of Slovenia",,The  2002 Municipality (administrative level 2) data are aggregated to spatially match 1995 Municipality boundaries to calculate population growth rates. The municipal growth rates between 1995 and 2002 were computed and applied to Settlements for extrapopolation  to target years.,,"ALPHA/BETA NOTES: We have both municipality and settlement 2002 census population data.  Some settlements have have pop classified as : '-' = no occurrence of event and  'z' = data not published because of confidentiality.  We also have settlements that can not be found on the spatial data;
The settlement total per municipality was compared with the municipal total.  Comparing the two totals, municipalities with settlements classified as ""-"" or no match with the spatial data have population total equal with the municipal pop, it was therefore decided these settlements have zero pop; 
For the settlemets with ""z"", the difference between the settlement total pop and municipality pop were computed and distributed equally among these settlements with ""z""s.  
PROD NOTES: Reprojected using original GPW2 data.",116,"261,929","1,428","8,462.65",Not available.,29,755,11,86.67,"2,514","442,736","5,501","37,853","1,097,745",12.43,55.8,49.1,43,24,0,0,"Slovenia Population Census 2002, http://www.stat.si/popis2002/en/rezultati_slovenij","NIMA, World Gazetteer",,,,,,,
Sweden,SWE,Europe,5,744,74405,Northern Europe,SE,752,39,31,431704,2,County,Municipality (Kommune),,,,288,1995,2002,"8,804","8,837","8,886"," 8,559 "," 8,827 "," 8,842 "," 8,785 "," 8,703 "," 8,625 ",1.87,-2.22,-6.75,Seamless Administrative Boundaries of Europe (SABE) distributed by Eurographics: http://www.eurogeographics.org/eng/03_projects_sabe.asps (SABE 2001 date of release : February 2003).,"Data for 1995 from: 
Statistik uden Graenser, Nordisk statistik pa cd-rom 1997 (Nordic Statistics on CD-Rom 1997). Published by the Statistics Offices of : Iceland, Danmark, Sweden, Greenland, Faroe, Finland and Norway. 
Data for 2002 from Statistics Sweden. url: Source: http://www.scb.se/statistik/be0101/be0101tab3beforandr02eng.asp
Downloaded August 2003.",,"To accomodate recent boundary divisions, the population of Nykvarn and Soedertaelje are aggregated to form one unit with the name of Soedertaelje.",Edited coastline to match DCW as the SABE data extended into the ocean. '-GY 24Mar04,1995 data is from GPW2.,558,"1,212,196","1,003","11,471.32",Built-up areas with at least 200 in_habitants and where houses are at most 200 metres from each other.,127,"2,394",1,241.97,"30,731","1,486,204","1,011","44,767","5,685,383",7.29,64.0,83.3,303,6,0,0,"City Population, www.citypopulation.de; StatisticsSweden, www.scb.se","Getty, Times Atlas of the World, 1999, NIMA, World Gazetteer",,,,,,,
Swaziland,SWZ,Africa,1,740,74005,Southern Africa,SZ,748,66,247,17410,1,Region,,,,,4,1986,1997,757,865,989, 769 , 835 , 925 , 968 , 987 ," 1,022 ",1.87,-2.22,-6.75,UNEP/GRID-WRI-NCGIA Africa Population Database: http://grid2.cr.usgs.gov,"Common Country Assessment: Swaziland 1997, Provisional Results of the 1997 Population and Housing Census (http://www.ecs.co.sz/cca/cca_6.htm) and Swaziland Government (1986), 1986 Swaziland population census, Vol. 1, Statistical Tables, Central Statistical Office, Mbabane. ",,A population growth rate was calculated between the years 1986-1997 and used to extrapolate population data  to target years.,,"ALPHA AND BETA NOTES: Used P90 and P00 to calculate rate for P95E, P00E, P05E, P10E, P15E, and P20E--MBrickman. PROD NOTES: the P00 is actually P97, should be recalculated and reprojected ..  DONE , projected using rate8697 …higher than UN's but shld be OK 5/19/2005",15,"57,811","1,201","10,044.13",Localities proclaimed as urban.,5,583,18,160.69,803,"95,238","5,822","26,623","133,116",4.62,13.0,26.7,13,5,0,0,"1986 Swaziland Population Census, UN Statistical Library","NIMA, Times Atlas of the World, 1",,,,,,,
Seychelles,SYC,Africa,1,680,68005,Eastern Africa,SC,690,10,40,196,1,District,,,,,2, ,1977,70,76,81, 70 , 75 , 80 , 86 , 91 , 97 ,-0.71,-0.71,-0.71,UNEP/GRID-WRI-NCGIA Africa Population Database: http://grid2.cr.usgs.gov,1990 population estimate based on 1973 and 1988 United Nations Demographic Yearbooks,,Population data were extrapolated to the years 1995 and 2000 using growth rates derived from United Nations national level estimates and projections. Population of the two islands estimated by distributing country level totals according to 1977 proportions.,,"Projected from GPW2 using UN National Estimates for 1990, 1995 and 2000 to compute the growth rates. The P90E was used as base pop to produced P95E, and P95E used for P00E.  For P05E, P10E, P15E, and P20E projections, the UN Growth rates listed below (under the pink headings) were used.--MBrickman",4,"27,153","3,164","9,424.75","Victoria; for 1987 census, Victoria and other towns and townships (including Anse Boileau, Anse Royale, Cascade and Takamaka).",1,120,120,119.81,120,"53,210","53,210","53,210","53,210",61.25,68.9,64.6,2,0,0,0,"AFCities, Data provided by Uwe Deichman at the World Bank; World Gazetteer, www.gazetteer.de",NIMA,,,,,,,
Syrian Arab Republic,SYR,Asia,4,752,75205,Western Asia,SY,760,119,1241,184366,1,Governorate (Mohafazat),,,,,13,1981,1994,"12,340","14,168","16,128"," 12,386 "," 14,221 "," 16,189 "," 18,389 "," 20,781 "," 23,206 ",1.87,-2.22,-6.75,World Data Bank II,"1994 population data are from the United Nation's Economic and Social Commission for Western Asia 2001 volume, ""Women and Men in the Syrian Arab Republic- A Statistical Portrait.""",,"Population data were extrapolated to target years of 1990, 1995 and 2000 using growth rates derived from United Nations national level estimates and projections.","There appeared to be no matching problems between the new population data and old boundary files, although the naming conventions of the governorates did vary slightly. ","I opted to use the UN rates when projecting the 1994 figures to 1995 and 2000.  This is because calculating a growth rate from the 1990estimate and 1994 figure led to implausibly high 2000 estimates (see comment in P00E). 
The 1990 population values (from GPW2, based on old census data) vary a lot from the '94 estimates. For GPW beta, I used 94 and the UN rates to extrapolate back to 1990. -GY",36,"1,869,511","31,664","199,238.92","Cities, mohafaza centres and man_tika centres.",58,"1,579",15,206.15,"11,957","1,360,413","5,112","105,425","6,114,656",6.44,36.4,51.8,90,1,0,0,"City Population, www.citypopulation.de; World Gazetteer, www.gazetteer.de","Getty, NIMA, Times Atlas of the World, 1999, World Gazetteer",,,,,,,
Turks and Caicos Islands,TCA,North America,2,791,79105,Caribbean,TC,796,23,17,548,0,,,,,,1,,,12,14,17, 12 , 14 , 17 , 20 , 23 , 26 ,1.87,-2.22,-6.75,Digital Chart of the World (DCW).,"United Nations. ""World Population Prospects: 2000 Revision. Vol 1. Comprehensive Tables,"" UN: NY 2001. The values given are population estimates.",,,,"No interpolation applied, used UN figures for population.",2,"4,800","1,500","3,150.00",,1,18.9732,18.9732,18.9732,18.9732,5259.8687,5259.8687,"5,260",5259.8687,NA,27.1,45.6,3,0,0,0,"World Gazetteer, www.gazetteer.de",,,,,,,,
Chad,TCD,Africa,1,130,13005,Middle Africa,TD,148,298,527,1243139,2,Prefecture,Sous-Prefecture,,,,14, ,1990,"5,454","6,302","7,378"," 5,829 "," 6,735 "," 7,885 "," 9,194 "," 10,689 "," 12,376 ",6.43,6.43,6.43,Produce by the USGS/EDC USAID/FEWS for UNEP/GRID-WRI-NCGIA Africa Population Database: http://grid2.cr.usgs.gov. (USGS/EDC USAID/FEWS),"Population estimates are based on the OECD/Club du Sahel West Africa Long Term Perspective Study (WALTPS), by Benoit Ninnin. Data for 1990 are based on Lopez-Escartin N.: Donnees de base sur la population, Tchad: CEPED, No. 5, Paris, Aout 1991.
",,Population data were extrapolated to the year 2000 using growth rates derived from United Nations national level estimates and projections.,,"Because we do not have new data for Chad, the UN rates were applied to GPW2 data to calculate 1995 and 2000 estimates.  For P05E, P10E, P15E, and P20E projections, the UN Growth rates listed below (under the pink headings) were used.--Mbrickman",51,"661,354","1,045","30,500.53","Administrative centres of prefectures, soul prefectures and administrative posts.",38,165,6,32.90,"1,250","704,208","3,128","41,898","1,592,107",0.10,19.4,24.1,6,48,2,0,"AFCities, Data provided by Uwe Deichman at the World Bank; City Population, http://www.citypopulation.de; Recensement General de la Population et de L'Habit 1995, Census Bureau; World Gazetteer, www.gazetteer.de","NIMA, Times Atlas of the World, 1, World Gazetteer",,,,,,,
Togo,TGO,Africa,1,764,76405,Western Africa,TG,768,52,216,57277,2,Region,Prefecture,,,,21,,1991,"3,454","3,846","4,529"," 3,453 "," 3,844 "," 4,527 "," 5,143 "," 5,826 "," 6,576 ",1.87,-2.22,-6.75,UNEP/GRID-WRI-NCGIA Africa Population Database: http://grid2.cr.usgs.gov,"The population figures for 1990 were based on estimates produced by Benoit Ninnin for the OECD/Club du Sahel West Africa Long Term Perspective Study (WALTPS) for 1960-90. He used these sources for 1990 population estimates: 
1. Etude d'une Image - Long Terme de l'Afrique. 
2. Lopez-Escartin N.: Donnees de base sur la population, Togo: CEPED, No. 4, Paris, Aout 1991. ",,Population data were extrapolated to target years using growth rates derived from United Nations national level estimates and projections.,,"Projected from GPW2 using UN National Estimates for 1990, 1995 and 2000 to compute the growth rates. The P90E was used as base pop to produced P95E, and P95E used for P00E. Projection to 2020 looks OK.  For P05E, P10E, P15E, and P20E projections, the UN Growth rates listed below (under the pink headings) were used.--MBrickman",43,"1,000,075","1,572","62,991.35",Seven urban communes.,34,272,7,49.71,"1,690","1,232,146","5,466","90,608","3,080,670",2.95,57.4,33.9,10,28,0,0,"AFCities, Data provided by Uwe Deichman at the World Bank; Togo Recensement General de la Population et de L'Habitat 1981, University of Texas;World Gazetteer, www.gazetteer.de","AFCities, NIMA, Times Atlas of the World, 1",,,,,,,
Thailand,THA,Asia,4,760,76005,South-eastern Asia,TH,764,26,77,513618,2,Province,District,,,,792,1990,2000,"55,633","58,126","61,064"," 54,736 "," 58,729 "," 62,806 "," 66,500 "," 69,681 "," 72,490 ",1.87,-2.22,-6.75,"GIS-IP Laboratory, Social Sciences Division, International Rice Research Institute
Wind Resources Assessment of Thailand, Thailand Department of Energy, Development & Promotion: http://203.150.24.8/renew/Twm/main.htm
Streetdirectory.com Asia-Pacific Maps: http://www.streetdirectory.com.sg:8080/index.jsp .","2000 Population and Housing Census, National Statistical Office of Thailand, http://www.nso.go.th/pop2000/finalrep_e.htm .","Growth rates were calculated between the years 1990 and 2000, except for some amphoes that had blatantly wrong 1990 pop values.  For these special cases, growth rates were calculated between the years 1996-2000","In most instances, a population growth rate was calculated between 1990 and 2000 to extrapolate the population data to target years.  For several areas, where the 1990 population figures appeared inaccurate, population growth rates were calculated between 1996 and 2000.","Missing spatial units were georeferenced to exisiting units in two ways: 1) By performing spatial join on lat/long point data of missing units, summing pop where overlap occurred. 2) For Bangkok only, identifying district containing the unit in question, and summing the district and sub-unit population. See ""Notes"" worksheet on file called ""popcheck"" for more notes on merges done","See ""Notes"" worksheet on file called ""popcheck"" for more notes on merges done 
Growth rates were calculated between the years 1990 and 2000, except for some amphoes that had blatantly wrong 1990 pop values.  For these special cases, growth rates were calculated between the years 1996-2000 (See ""Notes"" worksheet on file called ""popcheck"" for more info). The P00 used as base pop. MAYBE 96-00 GROWTH RATES SHOULD HAVE BEEN USED FOR ALL EXTRAPOLATIONS...? MB (22 JUL 04)",167,"6,320,174","4,937","87,472.65",Municipalities.,214,"6,149",2,171.40,"36,679","9,532,411","1,790","82,876","17,735,358",7.17,28.9,20.0,349,11,1,0,"City Population, www.citypopulation.de; Thailand 1991 Statistical Yearbook, Columbia University Libraries?;World Gazetteer, www.gazetteer.de","Getty, Map, NIMA, World Gazetteer",,,,,,,
Tajikistan,TJK,Asia,4,756,75605,South-central Asia,TJ,762,47,99,130295,1,Rayon,,,,,60,,1989,"5,192","5,562","5,959"," 5,303 "," 5,741 "," 6,087 "," 6,300 "," 6,618 "," 7,097 ",1.87,-2.22,-6.75,Australian Centre of the Asian Spatial Information and Analysis Network (ACASIAN).,The 1990 population estimate is based on 1989 population from Australian Centre of the Asian Spatial Information and Analysis Network (ACASIAN).,,Population data were extrapolated to target years of 1995 and 2000 using growth rates derived from United Nations national level estimates and projections.,,,26,"562,000","4,000","51,088.77","Cities and urban-type localities, officially designated as such, usually according to criteria based on the number of inhabitants and the predominance of non-agricultural workers and their families.",26,"1,283",12,189.53,"4,928","1,371,905","3,205","91,304","2,373,903",3.90,38.5,27.7,45,1,1,0,"1989 Cities Populations of Rebulic of Tajikistan, UN Statistical Library; Tajikistan Census, 2000, Government Statistical Office under Tajikistan, www.tajikistan.ru/stat.htm;World Gazetteer, www.gazetteer.de","Getty, NIMA, Times Atlas of the World, 1999, UNSD, World Gazetteer",,,,,,,
Tokelau,TKL,Oceania,6,NA,NA,Oceania-Polynesia,TK,772,0,0,15,1,Atoll,,,,,3,2001,2004,2,1,1, 2 , 2 , 1 , 1 , 1 , 1 ,1.87,-2.22,-6.75,Boundary extracted from the World Vector Coastline: http://www.ngdc.noaa.gov/mgg/shorelines/shorelines.html,World Gazetteer: http://www.world-gazetteer.com/fr/fr_tk.htm,,,,PROD: (1) Tokelau was not in alpha or beta (2) Standard interpolation,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
Turkmenistan,TKM,Asia,4,789,78905,South-central Asia,TM,795,98,86,460254,1,Rayon,,,,,48,,1989,"3,196","3,632","4,127"," 3,668 "," 4,210 "," 4,737 "," 5,204 "," 5,651 "," 6,059 ",1.87,-2.22,-6.75,Australian Centre of the Asian Spatial Information and Analysis Network (ACASIAN).,The 1990 population estimate is based on 1989 population from Australian Centre of the Asian Spatial Information and Analysis Network (ACASIAN).,,Population data were extrapolated to target years of 1995 and 2000 using growth rates derived from United Nations national level estimates and projections.,,,14,"597,174","23,354","112,634.43","Cities and urban-type localities, officially designated as such, usually according to criteria based on the number of inhabitants and the predominance of non-agricultural workers and their families.",13,"1,810",41,460.42,"5,985","898,510","5,590","183,061","2,379,795",1.23,46.0,44.9,17,2,0,0,"1998 Statistical Yearbook of Turkmenistan, LehmanLibrary, Columbia University; City Population, www.citypopulation.de;World Gazetteer, www.gazetteer.de","ASCities, NIMA, World Gazetteer",,,,,,,
East Timor,TLS,Asia,4,190,19005,South-eastern Asia,TP,626,29,46,14923,1,Propinsi,,,,,18,,1990,832,928,829, 740 , 840 , 737 , 897 ," 1,019 "," 1,099 ",-12.43,-10.54,-12.50,"National Statistical Office of Indonesia in collaboration with the UNSTAT/POPMAP Project.  
BPS Statistics Indonesia, Statistical Services, http://www.bps.go.id .","National Statistical Office of Indonesia, Census of 1990.",,"The population of Maluku Tenggara-East Timor, estimated by proportionally allocating the total population of Maluku Tenggara according to area.  
Population data were extrapolated to target years of 1995 and 2000 using growth rates derived from United Nations national level estimates and projections.",The boundaries of East Timor extracted from GPW2 and GPW3 Indonesia. Matched to GPW3 boundaries for IDN -GY,,19,"48,200","1,600","8,226.32",,6,127,27,59.04,354,"55,877","5,203","16,916","101,497",2.38,14.1,7.5,3,14,0,0,,,,,,,,,
Tonga,TON,Oceania,6,770,77005,Polynesia,TO,776,13,25,664,1,Island Group,,,,,4,1986,1996,96,97,99, 96 , 97 , 99 , 101 , 103 , 105 ,1.87,-2.22,-6.75,"The Digital Chart of the World (DCW), except for the Vava'u and Niuas Island Groups which were taken from the World Vector Shorelines http://www.ngdc.noaa.gov/mgg/shorelines/shorelines.html .","(1) 1996 Census results from Tonga, http://www.tongatapu.net.to/tonga/news/facts.htm .  (2) 1986 Census from City Population,  http://www.citypopulation.de/Tonga.html .",,,"Added three islands at northermost extent (Niuas Island Groups) from World Vector shorline. Two islands mis-named Niuas were renamed to Vava'u, new islands added are Niuas.",ALPHA/BETA/PROD: Standard projection.,8,"23,921","1,156","5,408.50",Greater Nuku'alofa (including Ko_lomotu'a and Kolof'ou districts).,1,183,183,182.64,183,"50,026","50,026","50,026","50,026",27.04,49.9,33.0,2,2,0,0,"World Gazetteer, www.gazetteer.de",World Gazetteer,,,,,,,
Trinidad and Tobago,TTO,North America,2,774,77405,Caribbean,TT,780,13,41,5202,2,County,Ward,,,,30,1990,2000,"1,177","1,200","1,225"," 1,215 "," 1,262 "," 1,294 "," 1,324 "," 1,358 "," 1,392 ",1.87,-2.22,-6.75,"Republic of Trinidad & Tobago Central Statistical Office (CSO), 1988.","Ward (administrative level 2) data for 1990, Central Statistical Office, 1990 Population and Housing Census, Vol II(2), Demographic Report, 1994 Port of Spain.  The 1990 county and 2000 county and wards within St George County obtained from the Trinidad and Tobago Central Statistics Office 2000 Census Table 8 (http://www.cso.gov.tt/statistics/cssp/census2000/default.asp).","Administrative level 1 data is used for all counties except for St. George County, which is further broken down into 6 towns and suburbs. ","In 2000, the Port of Spain population was added to the population of Diego Martin and the Borough of Arima pop added to Arima.  ",,"Ward (administrative level 2) data were available for all units in 1990, but the 2000 data were available only at  level 1 (county) data with the exception of St. George county. The population for all wards in counties other than St. George, were projected based on the county-level growth rates between 1990 and 2000.",21,"55,419","3,000","17,070.67","Port-of-Spain, Arima borough and San Fernando town.",3,"2,083",1,765.59,"2,297","991,180","1,365","343,670","1,031,010",44.19,80.3,74.5,6,1,0,0,"2000 Census Trinidad and Tobago, Central Statistical Office, www.cso.gov.tt/statistics/cssp/census2000/; World Gazetteer, www.gazetteer.de","NIMA, World Gazetteer",,,,,,,
Tunisia,TUN,Africa,1,784,78405,Northern Africa,TN,788,80,416,147882,1,Gouvernorat,,,,,23,1984,2002,"7,948","8,887","9,563"," 8,156 "," 8,943 "," 9,459 "," 10,013 "," 10,629 "," 11,257 ",1.87,-2.22,-6.75,"UNEP/GRID-WRI-NCGIA Africa Population Database, http://grid2.cr.usgs.gov .","Stastistiques Economiques et Sociales de la Tunise Population par gouvernorat au premier juillet.  Source: Institut National de la Statistique  http://www.ins.nat.tn/_private/idc/page01145.idc .
Institut National de la Statistique (1984), recensement General de la Population et de l'Habitat, Ministere du Plan, Tunis.","The administrative unit Ariana was split in to 2 units 'Ariana' and 'Manouba' in 2000. As no new spatial data were available, the spatial units and population data were aggregated.",A population growth rate was calculated between 1984 to 1996 and 1996 to 2002 to extrapolate to the target years of 1990 to 2000. ,"2 is referred as the level used in GPW therefore I have retained this, but note new data described as level 1 (Timothie Biggs). See 'tun_population.xls' in data folder for detail if required. The actual number of units is 24, but with combined unit noted the shapefile only has 23 units. NOTE: MB SWITCHED THE LEVEL BACK TO 1 BECAUSE LISA AND I BOTH THINK IT REALLY IS LEVEL 1 DATA AND THE ERROR WAS IN GPW2 (21 JUL 04)","I believe there was a typo.  I changed the 2002 population for the area of Zaghouan from 1,574,000 to 157,400.
We have new pop 1996-2002 (P96 - P02).  We also added P84 from Uwe.  To calculate P95E and P90E, I used rate between P84 and P96 with P96 as base pop. I copied P00E from P00. Looks OK now that typo is fixed! -Mbrickman
",114,"758,540","9,707","44,091.39",Population living in communes.,64,"1,887",12,157.35,"10,071","2,251,091","5,359","83,798","5,363,083",6.50,56.1,66.2,112,1,0,0,"Recensement General de la Population et des Logements, UN Statistical Library; Republique Tunisienne, Ministere Du Plan, Institut National de la Satistique, UN Statistical Library;World Gazetteer, www.gazetteer.de","NIMA, Times Atlas of the World, 1, World Gazetteer",,,,,,,
Turkey,TUR,Asia,4,788,78805,Western Asia,TR,792,98,848,768690,1,Province,District,,,,80,1990,2000,"56,473","61,767","67,804"," 56,098 "," 61,493 "," 66,668 "," 71,209 "," 75,145 "," 79,004 ",1.87,-2.22,-6.75,"Spatial data received via collaborative input-data exchange with the LandScan Project, http://www.ornl.gov/gist/ .","2000 population data: Republic of Turkey, State Institute of Statistics (SIS), http://www.die.gov.tr/ENGLISH/index.html .  
1990 and 1997 population data: Republic of Turkey, State Planning Organization, http://www.dpt.gov.tr/dptweb/ekutup99/il99/il99.html#nufus .",The boundaries do not include the recently created province (administrative level 1) of Duzce.  Duzce was split off from the province of Bolu.,"The population of Duzce province (administrative level 1) was aggregated with the population of Bolu province (administrative level 1).
Population data were extrapolated to target years of 1990, 1995 and 2000 using province (administrative level 1) 1990–2000 population growth rates applied to 2000 district (administrative level 2) population data. ",,"2000 data includes both Province and District.  However, District boundary data is not available.  ",417,"8,803,500","6,091","103,608.11",Population of the localities within the municipal limits of administrative centres of provinces and districts.,364,"1,929",1,121.49,"44,223","4,078,153","1,324","112,009","40,771,219",5.75,59.8,66.2,485,12,2,0,"Turkey 1990 Census of Population, UN Statistical Library; World Gazetteer, www.gazetteer.de","Getty, NIMA, Times Atlas of the World, 1999, UNSD, World Gazetteer",,,,,,,
Tuvalu,TUV,Oceania,6,790,79005,Polynesia,TV,798,2,1,32,1,Island,,,,,9,1979,1991,9,10,11, 9 , 9 , 10 , 11 , 12 , 12 ,1.87,-2.22,-6.75,Niulakita located from World Vector Shoreline and merged with Digital Chart of the World (DCW) boundaries.,"Government of Tuvalu, 1991 Census, downloaded from http://www.ffa.int/tuvalu.html .",,GPW2 for all islands other than Niulakita. Niulakita located from World Vector Shoreline; island names were identified from http://www.janeresture.com/tuvislands/index.htm,"Government of Tuvalu, 1991 Census; Downloaded from: http://www.ffa.int/tuvalu.html",P00 estimate was provided by the NSO.  growth rate between 1991 to 2000 used to project to the other target years.,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.2,NA,NA,NA,NA,,,,,,,,,
Taiwan,TWN,Asia,4,NA,NA,NA,NA,NA,42,1030,36223,2,Region,County,,,,21,1990,2000,"19,799","20,666","21,639",NA,NA,NA,NA,NA,NA,NA,NA,NA,"China 2000 County Population Census (CD-ROM). All China Marketing Research Co., LTD. ","2000 Population and Housing Census: Statistical tables (Historical comparison: Taiwan-Fukin area, by city/county) http://www.dgbas.gov.tw/census~n/six/lue5/cen8905e.rtf .","1990 and 1995 population estimates were added to GPW3 units from GPW2 as follows: 1) GPW2 polygons projected to match GPW3 coordinate system with slight adjustment in false northing to compensate for misalignment 2) Converted projected GPW2 polygons to centroids 3) Visually inspected centroids to ensure placement within appropriate GPW3 polygon (verified by comparing to administrative unit names) and moved when necessary 4) Where disaggregation occurred, centroids were copied and pasted to corresponding empty polygons. 5) Performed spatial join in ArcMap to assign GPW2 attributes to the new polygons and assigned the sum of each population attribute if there were multiple centroids within each polygon 6) Inspected data to ensure no data loss 7) Data were converted to lat/long coordinates",Kingmen County and Lienkiang County sum to form Kingman-Matsu Area.,"Source files: China's county2000.shp THE ADM LEVEL OF DATA USED SAID 3, BUT LISA THINKS THIS IS AN ERROR SO I CHANGED IT TO 2-- DOUBLE CHECK! -MB (21 JUL 04).",Kingmen County and Lienkiang County sum to form Kingman-Matsu Area (see both Geohive and original data from http://www.dgbas.gov.tw/census~n/six/lue5/census_p&h&E.htm for verification)- Melanie Brickman and Greg Booma 7-29-03,89,"2,634,635","30,502","178,573.98",Not available.,10,"11,240",6,"1,292.74","12,927","18,340,854","5,450","1,894,991","18,949,913",35.84,NA,Considered part of China by the UN,11,2,0,0,"City Population, www.citypopulation.de; Social Indicators The Republic of China 2000, UN and Lehman Library, Columbia University;World Gazetteer, www.gazetteer.de","NIMA, World Gazetteer",,,,,,,
United Rep. of Tanzania,TZA,Africa,1,855,85505,Eastern Africa,TZ,834,99,362,891021,2,Region,District,,,,90,1988,2002,"24,471","28,113","32,614"," 26,043 "," 30,868 "," 35,119 "," 39,435 "," 44,062 "," 49,343 ",1.87,-2.22,-6.75,"Spatial data provided by the University of Glasgow in Scotland, U.K.  See homepage and Tanzania links: http://www.geog.gla.ac.uk/~mshand","2002 Population and Housing Census, Zimbabwe: http://www.tanzania.go.tz/censusf.html;  Tanzania sensa 1988--1988 Population Census, Preliminary Report: http://www.tzonline.org/pdf/censuspreliminaryreport.pdf","The following spatial edits were made: (1) New spatial data clipped to DCW (2) In the 'Mwanza' region, all level 2 units were dissolved/amalgamated to level 1 because it was not possible to identify how the new units were created in this area (3) The most recent boundaries contained 95 units, but six of these were merged into a single unit in order to make the population data for two time periods compatible.",The population figures of several administrative units were aggregated in order to match boundaries of the shapefile (population units: 55 and shapefile units: 25). The maps on the Web site http://www.tanzania.go.tz/census/ were used as a guide for this process.  A 5% growth rate cap was applied to select units. ,"ALPHA/BETA NOTES: (1) Population of several adm units were aggregated to match boundaries of shapefile (pop units: 55 and shapefile units: 25). Maps on the Web (http://www.tanzania.go.tz/census/) were used as a guide. The detail of this is recorded on worksheet 'final - match to mshand 1991' (in data folder, spreadsheet 'tza_population'. Records that have been amended are shown in green on the worksheet ' export level; (2) In the 'Mwanza' region, all level 2 units were dissolved/amalgamated to level 1 because it was not possible to identify how the new units were created in this area. The original Mwanza units are shown on the 'notes' worksheet (in data folder, spreadsheet 'tza_population'). (3) New spatial data clipped to DCW.  PROD NOTES: (1) The population figures of several adm units were aggregated in order to match boundaries of the shapefile (pop units: 55 and shapefile units: 25). The maps on the web site http://www.tanzania.go.tz/census/ were used as a guide. The detail of this is recorded on worksheet 'final - match to mshand 1991' (in data folder, spreadsheet 'tza_population'. Those records that have been amended are shown in green on the worksheet ' export level; 2. In the 'Mwanza' region, all level 2 units were dissolved/amalgamated to level 1 because it was not possible to identify how the new units were created in this area. The original Mwanza units are shown on the 'notes' worksheet (in data folder, spreadsheet 'tza_population'); Removed name: Boundary data were provided by Mike Shand, Cartographer (MB)","ALPHA/BETA NOTES: This is a hybrid coverage - everything is at level 2 with the exception of one region: Mwanza where 6 level two units were merged; P90E_old was added from GPW2 by aggregating units in GPW2 to match the GPW3 boundaries; The population growth rate was calculated for the period 1990-2002 to project to target years.   PROD NOTES: This is a hybrid coverage - everything is at level 2 with the exception of one region: Mwanza where 6 level two units were merged.  Rate between 1988 and 2002, 5% rate cap applied.   Our estimate is higher than UN's but I think this is fine;   We have Ward level pop (higher res) for 1988 and 2002 but no matching boundary. ",56,"2,113,078","18,676","116,113.39",16 gazetted townships.,58,548,3,58.85,"3,413","2,209,011","7,051","118,333","6,863,314",0.38,19.7,33.3,40,22,2,1,"AFCities, Data provided by Uwe Deichman at the World Bank; World Gazetteer, www.gazetteer.de","AFCities, NIMA, Times Atlas of the World, 1, World Gazetteer",,,,,,,
